"基金经理","年化Alpha","最大回撤","波动率","夏普Sharp","重仓股集中度","重行业集中度","总交易日","任职时间","规模中间值","规模最大值","成长Alpha","成长天数","价值Alpha","价值天数","牛市Alpha","牛市天数","熊市Alpha","熊市天数"
"王俊",-0.021159871059405488,-0.2952,0.27362930782623035,-0.07733042643532603,43.958066860834755,60.31936317019992,725,"20150122-20180116",6828903595.89,13388817935.37,nan,99,0.09005818323523469,626,-0.18106217992210055,569,0.5620735503692709,156
"王健",-0.07699518494350002,-0.2015,0.141330061726261,-0.5447898628434074,30.68179667989413,55.19320905208588,558,"20140429-20180116",1378116348.3,2241573410.525,-0.00657096668805804,221,-0.12317842599528847,337,-0.07699518494350002,558,nan,0
"王光力",-0.13274051382174787,-0.283,0.12487753549831869,-1.0629655149106867,52.23164657751719,76.99333143234253,382,"20131018-20150511",1204743794.57,2213545821.55,-0.006853527821424834,337,nan,45,-0.13274051382174787,382,nan,0
"王克玉",0.07863083634445485,-0.2786,0.2576001157196893,0.3052437927862499,33.27774556194033,66.293975598537,1313,"20120327-20180116",1878691655.61,4987480957.4,0.20865721246406876,504,-0.0023744709043528947,809,0.05747873616331234,1068,0.1708367261136803,245
"王创练",-0.06501465197787451,-0.1248,0.08850449247983021,-0.7345915462166067,24.42512035369873,46.57050657272339,204,"20170315-20180116",1634206507.81,1649379556.46,nan,0,-0.06501465197787451,204,-0.06501465197787451,204,nan,0
"王加英",0.04516373734389433,-0.1389,0.1273933202119365,0.35452202100359875,36.4986705382665,nan,255,"20040603-20060121",888397250.69,1200632922.18,nan,118,0.27967404195336903,137,0.04516373734389433,255,nan,0
"王劲松",-0.3033898267668729,-0.48,0.30670216907535547,-0.989200134063386,30.41536247730255,nan,289,"20070130-20080409",2122990383.69,3240195551.63,-0.7394208621097632,166,0.2850748225576782,123,-0.6340456788015205,233,nan,56
"王勇",-0.09592071117863285,-0.6813,0.46711419442626284,-0.20534745534001234,44.622681615645426,77.27499900720058,1606,"20080805-20170217",1448935997.6666667,3105961481.61,-0.2063619135256928,789,0.0107354805616738,817,-0.22101503399729902,1125,0.1966595656841517,481
"王华",0.0105269735221776,-0.5103,0.5982959612989178,0.017594926596735228,33.7004759033521,69.52923474993024,2608,"20061116-20170804",6758705179.73,16523453708.11,-0.1580086231550003,1192,0.15240157185494285,1416,-0.159312989629785,1548,0.25855741027617524,1060
"王博强",0.0007006812326636871,-0.1927,0.17847024013316776,0.003926039613892295,29.892785535918343,57.876847479078506,692,"20150317-20180116",585296452.14,689632631.105,nan,66,-0.04102491372807045,626,-0.04097664335128646,536,0.14389969390572327,156
"王卫东",0.11687603918467847,-0.2564,0.37645274833958015,0.31046669123863097,35.049502245585124,60.33180570602417,1320,"20080725-20140102",2697680606.29,4076982379.84,-0.030489586322682793,697,0.2817457678823199,623,-0.08182326422216607,545,0.2566065170643304,775
"王君正",0.11332078731737465,-0.1937,0.23587655742476338,0.48042411910102656,52.42079838684627,76.54282830868449,1068,"20130826-20180116",1674535352.61,6341741330.2,-0.0046029637259013935,397,0.18309087549052028,671,0.08798783454039291,912,0.26142112662895955,156
"王品",0.25876352184926155,-0.0996,0.20475890625944737,1.2637473337613243,41.90148305892944,58.78673768043518,230,"20150523-20160430",503064113.8,863869564.24,nan,19,0.30293043420086135,211,nan,74,0.5343360448252658,156
"王园园",0.1650759216715441,-0.0483,0.09052600779836999,1.8235192922593066,65.26185870170593,82.57727241516113,142,"20170616-20180116",416883055.69,598050618.44,nan,0,0.1650759216715441,142,0.1650759216715441,142,nan,0
"王培",0.10630238499817511,-0.3436,0.3096324284083685,0.3433179965826281,37.61245729831549,62.35000725984573,1250,"20110603-20180116",1032595914.15,4651714062.48,0.13091443444452447,529,0.08824444580660987,721,0.04403027276256917,729,0.1934355324449255,521
"王增财",0.02138485354080578,-0.29,0.22780042262953873,0.09387539010664163,48.27315267589356,73.09476992917998,841,"20131023-20180116",400308056.20666665,4253284956.95,0.06609435304762527,362,-0.012403954019671776,479,-0.026619737016547552,685,0.23217424156508132,156
"王大鹏",-0.037968988105233636,-0.2042,0.2740113171387624,-0.13856722598798982,41.69557924182327,55.98884889152315,725,"20150122-20180116",716917355.43,1951610524.55,nan,99,-0.004378139204275275,626,-0.11964223771326185,569,0.2599289543753307,156
