"基金经理","年化Alpha","最大回撤","波动率","夏普Sharp","重仓股集中度","重行业集中度","总交易日","任职时间","规模中间值","规模最大值","成长Alpha","成长天数","价值Alpha","价值天数","牛市Alpha","牛市天数","熊市Alpha","熊市天数"
"张帆",0.03893888293916849,-0.0677,0.09782449930756132,0.3980483745359555,40.89358329772949,82.421377658844,247,"20170106-20180110",181077196.96,194589873.43,nan,0,0.03893888293916849,247,0.03893888293916849,247,nan,0
"张旭",0.007558483945480544,-0.3181,0.33772633223647386,0.022380499309684092,38.26231698989868,75.0120706643377,1395,"20120313-20180110",1904440274.03,2937726465.41,0.08924916909228277,513,-0.03995548598684306,882,-0.04137333159572561,1062,0.16361130107689503,333
"张杨",-0.022211508967823125,-0.3078,0.26650614660526883,-0.0833433271643124,48.837720692157745,77.24923348426819,320,"20141118-20160310",1483159785.19,2383743484.01,nan,112,-0.3323190833304523,208,0.09093398587676853,164,-0.141159336881368,156
"张淼",0.0540203027225425,-0.2165,0.2882982436367153,0.18737645446988396,43.647533774375916,79.31459832191467,665,"20150424-20180110",2453369471.86,5398854447.34,nan,39,0.04575914755321255,626,0.0172554072777617,509,0.17397755773147452,156
"张燕",-0.022789777996733686,-0.0577,0.07438910214704239,-0.30635909479974516,30.8162602186203,71.09958148002625,200,"20170321-20180110",2222706611.48,2355637713.95,nan,0,-0.022789777996733686,200,-0.022789777996733686,200,nan,0
"张玮升",nan,-0.0464,0.044705183739833565,nan,nan,nan,52,"20171027-20180110",206062266.07,300706741.07,nan,0,nan,52,nan,52,nan,0
"张琦",0.05381216527843934,-0.1879,0.18661927065273629,0.2883526716733009,24.652043067084417,69.78589947753484,1129,"20130528-20180110",365847765.82,662457742.915,-0.016601342012717162,458,0.10187384387657593,671,0.02710932215312606,973,0.22036259066901534,156
"张继枫",nan,-0.0511,0.038745214795007636,nan,nan,nan,21,"20171211-20180110",14691282.95,14742570.54,nan,0,nan,21,nan,21,nan,0
"张继荣",-0.1598052380751699,-0.3369,0.21488755946108118,-0.7436691006028788,41.017704248428345,63.4723444779714,371,"20140102-20150709",337059459.99,504934265.8,0.026107706651412686,312,nan,59,-0.0956620484048677,351,nan,20
"张自力",0.07421735746404992,-0.1707,0.2740282871154774,0.2708383074071993,12.327838565622057,65.64504310062954,634,"20150609-20180110",9996799330.09,16600674188.5,nan,8,0.05528253802770391,626,-0.009272217488563031,478,0.3300379781521849,156
"张金涛",0.23473947660129138,-0.0606,0.1459498472770682,1.6083571239075487,38.7194135983785,28.965114692846935,397,"20160527-20180110",1370421881.05,7744730658.88,nan,0,0.23473947660129138,397,0.23473947660129138,397,nan,0
"张露",nan,-0.0174,0.027115686284225823,nan,nan,nan,102,"20170811-20180110",541077253.9,550171653.58,nan,0,nan,102,nan,102,nan,0
"张飞",-0.08039947370022191,-0.2149,0.1779917438284231,-0.4517033878701912,48.35979970296224,84.53686924775441,546,"20151021-20180110",203016018.58,378652070.6,nan,0,-0.08039947370022191,546,-0.029523445438338212,476,nan,70
"彭凌志",0.24512468990911632,-0.0984,0.18910973731249975,1.296203428721669,50.53284549713135,78.75556935090572,517,"20151201-20180110",600336382.73,4591653729.29,nan,0,0.24512468990911632,517,0.24815223236904624,476,nan,41
"彭建辉",-0.21850772949543457,-0.3088,0.16234968285433832,-1.345907954076398,47.24761891365051,76.85295003652573,280,"20140726-20150916",45948020.41,97880453.34,0.11175887616472224,174,nan,106,-0.28403146091051573,213,nan,67
"彭敢",nan,-0.0347,0.04071196934414806,nan,nan,nan,25,"20171205-20180110",512884553.99,523193413.37,nan,0,nan,25,nan,25,nan,0
"彭海伟",0.022338113902543318,-0.0902,0.1448611056844146,0.15420366838292499,42.92953300476074,80.86511290073395,448,"20160315-20180110",181077196.96,385950689.96,nan,0,0.022338113902543318,448,0.022338113902543318,448,nan,0
"征茂平",-0.01266553085205987,-0.3388,0.23045219396187402,-0.05495947178595858,46.590355507532756,78.60906704266866,1093,"20130722-20180110",277436255.1,608949053.66,-0.1995528430001983,422,0.10487015577463854,671,-0.019800677890902417,937,0.030191089503039458,156
"徐喻军",0.16831763371649336,-0.0171,0.034558321341592056,4.870538474735393,22.825099170207977,67.04420185089111,214,"20170301-20180110",220420302.01,249745270.13,nan,0,0.16831763371649336,214,0.16831763371649336,214,nan,0
"徐彦",0.12492299775566218,-0.2888,0.2060975278990601,0.6061353526610247,57.22584247589111,75.29782566428185,717,"20150203-20180110",162201199.64,1142151313.53,nan,91,0.2314425889026705,626,0.06250215551062087,561,0.34939794967532994,156
"徐成",0.38168495386262014,-0.0232,0.07181429093168586,5.314888567593074,nan,nan,126,"20170708-20180110",64982760.88,101332689.39,nan,0,0.38168495386262014,126,0.38168495386262014,126,nan,0
"徐治彪",0.02023487911642351,-0.2721,0.1887472257530024,0.1072062332873872,65.61513809363048,88.66530009793739,499,"20150820-20180110",1893624558.31,2692121103.23,nan,0,0.02023487911642351,499,-0.12549837109942472,392,nan,107
"提云涛",0.017005123645586817,-0.0821,0.06617700175787827,0.25696425032677433,nan,nan,124,"20170712-20180110",76170000.16,215949714.97,nan,0,0.017005123645586817,124,0.017005123645586817,124,nan,0
"方伦煜",-0.1084524178340639,-0.3514,0.23528433883184968,-0.4609419325251879,40.691666543483734,63.935036182403564,685,"20150326-20180110",492788472.92,1777950964.17,nan,59,-0.019197606315164244,626,-0.15906470443836848,529,0.06317514379207173,156
"方磊",0.03421878931398795,-0.1134,0.15018965002501358,0.2278371998888667,21.28093585371971,69.45077061653137,450,"20160311-20180110",90314383.6,293152081.86,nan,0,0.03421878931398795,450,0.03421878931398795,450,nan,0
"方超",-0.0876129792140527,-0.3408,0.3934534228976012,-0.22267687638558056,43.29464215040207,74.91607373952866,661,"20150430-20180110",855354291.085,2393207137.51,nan,35,-0.1303251756039635,626,-0.0684551571467651,505,-0.14963028782931065,156
"施卫平",nan,-0.1741,0.15430784884755075,nan,nan,nan,44,"20150424-20150626",3306595180.79,3607986761.04,nan,39,nan,5,nan,33,nan,11
"施旭",-0.01575162000130002,-0.0956,0.061363125554307,-0.2566952034957814,nan,nan,162,"20170517-20180110",174701255.74,303093857.24,nan,0,-0.01575162000130002,162,-0.01575162000130002,162,nan,0
"易祚兴",-0.19975152033107213,-0.3269,0.15624153983055103,-1.2784789534697947,73.6050546169281,80.72417271137238,375,"20160630-20180110",161302680.3,209877342.75,nan,0,-0.19975152033107213,375,-0.19975152033107213,375,nan,0
